"","equi_output"
"1",-0.0132917330959225
"2",0.225123393269473
"3",0.160890380432395
"4",0.160890380432395
"5",-0.0132917330959225
"6",0.160890380432395
"7",0.160890380432395
"8",-0.0132917330959225
"9",-4.26862187899654
"10",-3.63593800527571
"11",0.160890380432395
"12",0.160890380432395
"13",0.160890380432395
"14",0.160890380432395
"15",0.160890380432395
"16",0.160890380432395
"17",0.160890380432395
"18",0.160890380432395
"19",0.160890380432395
"20",0.160890380432395
"21",0.196394093045647
"22",0.160890380432395
"23",0.160890380432395
"24",-0.0132917330959225
"25",0.160890380432395
"26",0.160890380432395
"27",0.160890380432395
"28",0.160890380432395
"29",0.160890380432395
"30",0.160890380432395
"31",0.160890380432395
"32",0.160890380432395
"33",-0.0132917330959225
"34",0.196394093045647
"35",0.160890380432395
"36",-0.0132917330959225
"37",0.160890380432395
"38",0.160890380432395
"39",0.160890380432395
"40",0.160890380432395
"41",0.160890380432395
"42",-0.0132917330959225
"43",0.160890380432395
"44",0.160890380432395
"45",0.160890380432395
"46",0.160890380432395
"47",0.160890380432395
"48",0.160890380432395
"49",0.160890380432395
"50",4.87479832364617
"51",0.160890380432395
"52",0.160890380432395
"53",0.160890380432395
"54",0.225123393269473
"55",-3.63593800527571
"56",0.160890380432395
"57",0.225123393269473
"58",0.225123393269473
"59",0.160890380432395
"60",0.160890380432395
"61",-0.0132917330959225
"62",0.160890380432395
"63",0.160890380432395
"64",0.225123393269473
"65",0.160890380432395
"66",0.160890380432395
"67",0.160890380432395
"68",0.160890380432395
"69",0.160890380432395
"70",0.160890380432395
"71",0.160890380432395
"72",-0.0132917330959225
"73",0.160890380432395
"74",0.160890380432395
"75",0.225123393269473
"76",0.160890380432395
"77",0.160890380432395
"78",0.225123393269473
"79",0.225123393269473
"80",-0.0132917330959225
"81",0.467449171190443
"82",0.160890380432395
"83",0.160890380432395
"84",0.160890380432395
"85",0.160890380432395
"86",-0.0132917330959225
"87",0.160890380432395
"88",0.160890380432395
"89",0.160890380432395
"90",0.160890380432395
"91",0.160890380432395
"92",0.160890380432395
"93",0.160890380432395
"94",-0.0132917330959225
"95",0.160890380432395
"96",-0.0132917330959225
"97",0.0706461622645657
"98",-0.0132917330959225
"99",0.160890380432395
"100",0.160890380432395
"101",-0.0132917330959225
"102",-0.0132917330959225
"103",0.160890380432395
"104",0.160890380432395
"105",0.160890380432395
"106",0.160890380432395
"107",0.160890380432395
"108",0.467449171190443
"109",0.160890380432395
"110",0.225123393269473
"111",0.160890380432395
"112",-0.0132917330959225
"113",0.160890380432395
"114",0.0706461622645657
"115",0.160890380432395
"116",0.160890380432395
"117",-6.21774110912402
"118",0.160890380432395
"119",0.160890380432395
"120",0.160890380432395
"121",0.160890380432395
"122",0.160890380432395
"123",0.160890380432395
"124",0.225123393269473
"125",0.160890380432395
"126",0.160890380432395
"127",0.160890380432395
"128",-0.0132917330959225
"129",0.160890380432395
"130",0.160890380432395
"131",0.160890380432395
"132",-0.0132917330959225
"133",0.160890380432395
"134",-0.0132917330959225
"135",0.160890380432395
"136",0.160890380432395
"137",0.160890380432395
"138",-0.00294852364066322
"139",0.225123393269473
"140",0.160890380432395
"141",-0.0132917330959225
"142",0.225123393269473
"143",0.225123393269473
"144",0.160890380432395
"145",-3.63593800527571
"146",0.160890380432395
"147",0.160890380432395
"148",0.160890380432395
"149",0.160890380432395
"150",0.160890380432395
"151",0.160890380432395
"152",0.160890380432395
"153",-0.0132917330959225
"154",0.160890380432395
"155",0.160890380432395
"156",0.160890380432395
"157",0.160890380432395
"158",0.160890380432395
"159",0.160890380432395
"160",0.160890380432395
"161",-6.21774110912402
"162",0.160890380432395
"163",-0.0132917330959225
"164",0.160890380432395
"165",0.160890380432395
"166",0.160890380432395
"167",0.160890380432395
"168",0.160890380432395
"169",0.160890380432395
"170",0.160890380432395
"171",0.160890380432395
"172",0.160890380432395
"173",0.225123393269473
"174",0.160890380432395
"175",0.160890380432395
"176",0.160890380432395
"177",0.160890380432395
"178",0.160890380432395
"179",0.160890380432395
"180",0.225123393269473
"181",0.225123393269473
"182",0.160890380432395
"183",0.160890380432395
"184",0.160890380432395
"185",0.160890380432395
"186",0.160890380432395
"187",0.160890380432395
"188",0.160890380432395
"189",-0.0132917330959225
"190",0.160890380432395
"191",0.160890380432395
"192",0.160890380432395
"193",0.160890380432395
"194",0.196394093045647
"195",0.160890380432395
"196",-3.63593800527571
"197",-0.0132917330959225
"198",0.225123393269473
"199",0.160890380432395
"200",0.160890380432395
"201",-0.0132917330959225
"202",0.160890380432395
"203",0.160890380432395
"204",0.160890380432395
"205",0.160890380432395
"206",0.160890380432395
"207",0.160890380432395
"208",-0.0132917330959225
"209",0.160890380432395
"210",0.160890380432395
"211",0.160890380432395
"212",0.160890380432395
"213",0.160890380432395
"214",0.225123393269473
"215",0.160890380432395
"216",0.160890380432395
"217",0.160890380432395
"218",0.160890380432395
"219",0.160890380432395
"220",0.160890380432395
"221",0.160890380432395
"222",0.160890380432395
"223",-0.0132917330959225
"224",0.160890380432395
"225",0.160890380432395
"226",-0.0132917330959225
"227",0.160890380432395
"228",0.160890380432395
"229",0.225123393269473
"230",0.160890380432395
"231",0.160890380432395
"232",-0.0132917330959225
"233",-0.0132917330959225
"234",0.160890380432395
"235",0.160890380432395
"236",-0.00294852364066322
"237",0.160890380432395
"238",0.160890380432395
"239",0.160890380432395
"240",0.225123393269473
"241",0.160890380432395
"242",10.950126227787
"243",-0.0132917330959225
"244",0.160890380432395
"245",0.160890380432395
"246",0.467449171190443
"247",0.160890380432395
"248",0.225123393269473
"249",0.160890380432395
"250",0.160890380432395
"251",0.160890380432395
"252",0.160890380432395
"253",-4.26862187899654
"254",0.160890380432395
"255",-0.0132917330959225
"256",0.160890380432395
"257",0.160890380432395
"258",0.160890380432395
"259",-0.00294852364066322
"260",0.160890380432395
"261",0.160890380432395
"262",0.160890380432395
"263",0.160890380432395
"264",0.467449171190443
"265",0.160890380432395
"266",0.160890380432395
"267",0.160890380432395
"268",0.467449171190443
"269",0.160890380432395
"270",0.160890380432395
"271",0.160890380432395
"272",0.160890380432395
"273",0.160890380432395
"274",0.160890380432395
"275",-0.0132917330959225
"276",-0.0132917330959225
"277",0.160890380432395
"278",0.160890380432395
"279",0.160890380432395
"280",0.160890380432395
"281",0.160890380432395
"282",-0.00294852364066322
"283",0.160890380432395
"284",0.160890380432395
"285",-0.0132917330959225
"286",0.160890380432395
"287",0.160890380432395
"288",0.160890380432395
"289",0.160890380432395
"290",0.160890380432395
"291",0.160890380432395
"292",0.160890380432395
"293",0.160890380432395
"294",0.467449171190443
"295",0.160890380432395
"296",0.917613679630029
"297",0.160890380432395
"298",0.160890380432395
"299",0.160890380432395
"300",0.160890380432395
"301",0.160890380432395
"302",-0.00294852364066322
"303",0.160890380432395
"304",0.917613679630029
"305",0.225123393269473
"306",0.160890380432395
"307",0.160890380432395
"308",0.160890380432395
"309",0.160890380432395
"310",0.160890380432395
"311",0.160890380432395
"312",0.160890380432395
"313",0.160890380432395
"314",0.160890380432395
"315",0.160890380432395
"316",0.160890380432395
"317",0.160890380432395
"318",0.160890380432395
"319",0.160890380432395
"320",0.160890380432395
"321",-0.0132917330959225
"322",0.160890380432395
"323",0.225123393269473
"324",-6.21774110912402
"325",-0.0132917330959225
