"","equi_c_output"
"1",0.0413059488657066
"2",0.42510069890625
"3",0.42510069890625
"4",0.42510069890625
"5",0.0413059488657066
"6",0.42510069890625
"7",0.42510069890625
"8",0.0413059488657066
"9",-17.6490521123973
"10",-9.27345329008875
"11",0.42510069890625
"12",0.42510069890625
"13",0.42510069890625
"14",0.42510069890625
"15",0.42510069890625
"16",0.42510069890625
"17",0.42510069890625
"18",0.42510069890625
"19",0.42510069890625
"20",0.42510069890625
"21",0.951641857417612
"22",0.42510069890625
"23",0.42510069890625
"24",0.0413059488657066
"25",0.42510069890625
"26",0.42510069890625
"27",0.42510069890625
"28",0.42510069890625
"29",0.42510069890625
"30",0.42510069890625
"31",0.42510069890625
"32",0.42510069890625
"33",0.0413059488657066
"34",0.951641857417612
"35",0.42510069890625
"36",0.0413059488657066
"37",0.42510069890625
"38",0.42510069890625
"39",0.42510069890625
"40",0.42510069890625
"41",0.42510069890625
"42",0.0413059488657066
"43",0.42510069890625
"44",0.42510069890625
"45",0.42510069890625
"46",0.42510069890625
"47",0.42510069890625
"48",0.42510069890625
"49",0.42510069890625
"50",13.0260111375356
"51",0.42510069890625
"52",0.42510069890625
"53",0.42510069890625
"54",0.42510069890625
"55",-9.27345329008875
"56",0.42510069890625
"57",0.42510069890625
"58",0.42510069890625
"59",0.42510069890625
"60",0.42510069890625
"61",0.0413059488657066
"62",0.42510069890625
"63",0.42510069890625
"64",0.42510069890625
"65",0.42510069890625
"66",0.42510069890625
"67",0.42510069890625
"68",0.42510069890625
"69",0.42510069890625
"70",0.42510069890625
"71",0.42510069890625
"72",0.0413059488657066
"73",0.42510069890625
"74",0.42510069890625
"75",0.42510069890625
"76",0.42510069890625
"77",0.42510069890625
"78",0.42510069890625
"79",0.42510069890625
"80",0.0413059488657066
"81",2.55248865963932
"82",0.42510069890625
"83",0.42510069890625
"84",0.42510069890625
"85",0.42510069890625
"86",0.0413059488657066
"87",0.42510069890625
"88",0.42510069890625
"89",0.42510069890625
"90",0.42510069890625
"91",0.42510069890625
"92",0.42510069890625
"93",0.42510069890625
"94",0.0413059488657066
"95",0.42510069890625
"96",0.0413059488657066
"97",-0.280115506509524
"98",0.0413059488657066
"99",0.42510069890625
"100",0.42510069890625
"101",0.0413059488657066
"102",0.0413059488657066
"103",0.42510069890625
"104",0.42510069890625
"105",0.42510069890625
"106",0.42510069890625
"107",0.42510069890625
"108",-0.672710941731342
"109",0.42510069890625
"110",0.42510069890625
"111",0.42510069890625
"112",0.0413059488657066
"113",0.42510069890625
"114",-0.280115506509524
"115",0.42510069890625
"116",0.42510069890625
"117",-17.4194796573118
"118",0.42510069890625
"119",0.42510069890625
"120",0.42510069890625
"121",0.42510069890625
"122",0.42510069890625
"123",0.42510069890625
"124",0.42510069890625
"125",0.42510069890625
"126",0.42510069890625
"127",0.42510069890625
"128",0.0413059488657066
"129",0.42510069890625
"130",0.42510069890625
"131",0.42510069890625
"132",0.0413059488657066
"133",0.42510069890625
"134",0.0413059488657066
"135",0.42510069890625
"136",0.42510069890625
"137",0.42510069890625
"138",0.130000361347536
"139",0.42510069890625
"140",0.42510069890625
"141",0.0413059488657066
"142",0.42510069890625
"143",0.42510069890625
"144",0.42510069890625
"145",-9.27345329008875
"146",0.42510069890625
"147",0.42510069890625
"148",0.42510069890625
"149",0.42510069890625
"150",0.42510069890625
"151",0.42510069890625
"152",0.42510069890625
"153",0.0413059488657066
"154",0.42510069890625
"155",0.42510069890625
"156",0.42510069890625
"157",0.42510069890625
"158",0.42510069890625
"159",0.42510069890625
"160",0.42510069890625
"161",1.95928282469349
"162",0.42510069890625
"163",0.0413059488657066
"164",0.42510069890625
"165",0.42510069890625
"166",0.42510069890625
"167",0.42510069890625
"168",0.42510069890625
"169",0.42510069890625
"170",0.42510069890625
"171",0.42510069890625
"172",0.42510069890625
"173",0.42510069890625
"174",0.42510069890625
"175",0.42510069890625
"176",0.42510069890625
"177",0.42510069890625
"178",0.42510069890625
"179",0.42510069890625
"180",0.42510069890625
"181",0.42510069890625
"182",0.42510069890625
"183",0.42510069890625
"184",0.42510069890625
"185",0.42510069890625
"186",0.42510069890625
"187",0.42510069890625
"188",0.42510069890625
"189",0.0413059488657066
"190",0.42510069890625
"191",0.42510069890625
"192",0.42510069890625
"193",0.42510069890625
"194",0.951641857417612
"195",0.42510069890625
"196",-9.27345329008875
"197",0.0413059488657066
"198",0.42510069890625
"199",0.42510069890625
"200",0.42510069890625
"201",0.0413059488657066
"202",0.42510069890625
"203",0.42510069890625
"204",0.42510069890625
"205",0.42510069890625
"206",0.42510069890625
"207",0.42510069890625
"208",0.0413059488657066
"209",0.42510069890625
"210",0.42510069890625
"211",0.42510069890625
"212",0.42510069890625
"213",0.42510069890625
"214",0.42510069890625
"215",0.42510069890625
"216",0.42510069890625
"217",0.42510069890625
"218",0.42510069890625
"219",0.42510069890625
"220",0.42510069890625
"221",0.42510069890625
"222",0.42510069890625
"223",0.0413059488657066
"224",0.42510069890625
"225",0.42510069890625
"226",0.0413059488657066
"227",0.42510069890625
"228",0.42510069890625
"229",0.42510069890625
"230",0.42510069890625
"231",0.42510069890625
"232",0.0413059488657066
"233",0.0413059488657066
"234",0.42510069890625
"235",0.42510069890625
"236",0.130000361347536
"237",0.42510069890625
"238",0.42510069890625
"239",0.42510069890625
"240",0.42510069890625
"241",0.42510069890625
"242",28.0594443020917
"243",0.0413059488657066
"244",0.42510069890625
"245",0.42510069890625
"246",-0.672710941731342
"247",0.42510069890625
"248",0.42510069890625
"249",0.42510069890625
"250",0.42510069890625
"251",0.42510069890625
"252",0.42510069890625
"253",-17.6490521123973
"254",0.42510069890625
"255",0.0413059488657066
"256",0.42510069890625
"257",0.42510069890625
"258",0.42510069890625
"259",0.130000361347536
"260",0.42510069890625
"261",0.42510069890625
"262",0.42510069890625
"263",0.42510069890625
"264",-0.672710941731342
"265",0.42510069890625
"266",0.42510069890625
"267",0.42510069890625
"268",2.55248865963932
"269",0.42510069890625
"270",0.42510069890625
"271",0.42510069890625
"272",0.42510069890625
"273",0.42510069890625
"274",0.42510069890625
"275",0.0413059488657066
"276",0.0413059488657066
"277",0.42510069890625
"278",0.42510069890625
"279",0.42510069890625
"280",0.42510069890625
"281",0.42510069890625
"282",0.130000361347536
"283",0.42510069890625
"284",0.42510069890625
"285",0.0413059488657066
"286",0.42510069890625
"287",0.42510069890625
"288",0.42510069890625
"289",0.42510069890625
"290",0.42510069890625
"291",0.42510069890625
"292",0.42510069890625
"293",0.42510069890625
"294",-0.672710941731342
"295",0.42510069890625
"296",0.42510069890625
"297",0.42510069890625
"298",0.42510069890625
"299",0.42510069890625
"300",0.42510069890625
"301",0.42510069890625
"302",0.130000361347536
"303",0.42510069890625
"304",0.42510069890625
"305",0.42510069890625
"306",0.42510069890625
"307",0.42510069890625
"308",0.42510069890625
"309",0.42510069890625
"310",0.42510069890625
"311",0.42510069890625
"312",0.42510069890625
"313",0.42510069890625
"314",0.42510069890625
"315",0.42510069890625
"316",0.42510069890625
"317",0.42510069890625
"318",0.42510069890625
"319",0.42510069890625
"320",0.42510069890625
"321",0.0413059488657066
