"","ego_output"
"1",0.19679017693141
"2",0.747085566726035
"3",0.0939586730013514
"4",0.0939586730013514
"5",0.19679017693141
"6",0.0939586730013514
"7",0.0939586730013514
"8",0.19679017693141
"9",-5.74648097559121
"10",0.19679017693141
"11",0.0939586730013514
"12",0.0939586730013514
"13",0.0939586730013514
"14",0.0939586730013514
"15",0.0939586730013514
"16",0.0939586730013514
"17",0.0939586730013514
"18",0.0939586730013514
"19",0.0939586730013514
"20",0.0939586730013514
"21",0.0939586730013514
"22",0.0939586730013514
"23",0.567150750369718
"24",0.19679017693141
"25",0.0939586730013514
"26",0.0939586730013514
"27",0.0939586730013514
"28",0.0939586730013514
"29",0.0939586730013514
"30",0.0939586730013514
"31",0.0939586730013514
"32",0.0939586730013514
"33",0.85790578065683
"34",0.0939586730013514
"35",0.0939586730013514
"36",0.85790578065683
"37",0.0939586730013514
"38",0.0939586730013514
"39",0.0939586730013514
"40",0.0939586730013514
"41",0.0939586730013514
"42",0.819361553744546
"43",0.0939586730013514
"44",0.0939586730013514
"45",0.0939586730013514
"46",0.0939586730013514
"47",0.0939586730013514
"48",0.0939586730013514
"49",0.0939586730013514
"50",0.0939586730013514
"51",0.0939586730013514
"52",0.0939586730013514
"53",0.0939586730013514
"54",0.567150750369718
"55",-3.74919256952165
"56",0.0939586730013514
"57",0.567150750369718
"58",0.567150750369718
"59",0.0939586730013514
"60",0.0939586730013514
"61",0.19679017693141
"62",0.0939586730013514
"63",0.0939586730013514
"64",0.567150750369718
"65",0.0939586730013514
"66",0.0939586730013514
"67",0.0939586730013514
"68",0.0939586730013514
"69",0.0939586730013514
"70",0.0939586730013514
"71",0.0939586730013514
"72",0.819361553744546
"73",0.0939586730013514
"74",0.0939586730013514
"75",0.567150750369718
"76",0.0939586730013514
"77",0.0939586730013514
"78",0.567150750369718
"79",0.567150750369718
"80",0.85790578065683
"81",0.567150750369718
"82",0.0939586730013514
"83",0.0939586730013514
"84",0.0939586730013514
"85",0.0939586730013514
"86",0.19679017693141
"87",0.0939586730013514
"88",0.0939586730013514
"89",0.0939586730013514
"90",0.0939586730013514
"91",0.0939586730013514
"92",0.0939586730013514
"93",0.0939586730013514
"94",0.85790578065683
"95",0.0939586730013514
"96",0.85790578065683
"97",2.5578650135177
"98",0.19679017693141
"99",0.0939586730013514
"100",0.0939586730013514
"101",0.85790578065683
"102",0.85790578065683
"103",0.567150750369718
"104",0.0939586730013514
"105",0.0939586730013514
"106",0.0939586730013514
"107",0.0939586730013514
"108",0.567150750369718
"109",0.0939586730013514
"110",0.567150750369718
"111",0.0939586730013514
"112",0.19679017693141
"113",0.0939586730013514
"114",0.19679017693141
"115",0.0939586730013514
"116",0.0939586730013514
"117",-6.389379732874
"118",0.0939586730013514
"119",0.0939586730013514
"120",0.0939586730013514
"121",0.567150750369718
"122",0.0939586730013514
"123",0.567150750369718
"124",0.567150750369718
"125",0.0939586730013514
"126",0.0939586730013514
"127",0.567150750369718
"128",0.19679017693141
"129",0.0939586730013514
"130",0.0939586730013514
"131",0.0939586730013514
"132",0.19679017693141
"133",0.567150750369718
"134",0.19679017693141
"135",0.0939586730013514
"136",0.0939586730013514
"137",0.0939586730013514
"138",0.0939586730013514
"139",0.747085566726035
"140",0.0939586730013514
"141",0.85790578065683
"142",0.567150750369718
"143",0.567150750369718
"144",0.0939586730013514
"145",0.0939586730013514
"146",0.0939586730013514
"147",0.0939586730013514
"148",0.0939586730013514
"149",0.0939586730013514
"150",0.0939586730013514
"151",0.567150750369718
"152",0.0939586730013514
"153",0.819361553744546
"154",0.0939586730013514
"155",0.0939586730013514
"156",0.0939586730013514
"157",0.0939586730013514
"158",0.0939586730013514
"159",0.0939586730013514
"160",0.0939586730013514
"161",-17.5771897253951
"162",0.0939586730013514
"163",0.19679017693141
"164",0.0939586730013514
"165",0.0939586730013514
"166",0.0939586730013514
"167",0.0939586730013514
"168",0.0939586730013514
"169",0.0939586730013514
"170",0.0939586730013514
"171",0.0939586730013514
"172",0.0939586730013514
"173",0.567150750369718
"174",0.0939586730013514
"175",0.0939586730013514
"176",0.0939586730013514
"177",0.0939586730013514
"178",0.0939586730013514
"179",0.0939586730013514
"180",0.567150750369718
"181",0.567150750369718
"182",0.0939586730013514
"183",0.0939586730013514
"184",0.0939586730013514
"185",0.0939586730013514
"186",0.0939586730013514
"187",0.0939586730013514
"188",0.0939586730013514
"189",0.19679017693141
"190",0.0939586730013514
"191",0.0939586730013514
"192",0.0939586730013514
"193",0.0939586730013514
"194",0.0939586730013514
"195",0.0939586730013514
"196",0.567150750369718
"197",0.19679017693141
"198",0.567150750369718
"199",0.0939586730013514
"200",0.0939586730013514
"201",0.19679017693141
"202",0.0939586730013514
"203",0.0939586730013514
"204",0.0939586730013514
"205",0.747085566726035
"206",0.0939586730013514
"207",0.0939586730013514
"208",0.19679017693141
"209",0.0939586730013514
"210",0.0939586730013514
"211",0.0939586730013514
"212",0.747085566726035
"213",0.0939586730013514
"214",0.567150750369718
"215",0.0939586730013514
"216",0.0939586730013514
"217",0.0939586730013514
"218",0.0939586730013514
"219",0.0939586730013514
"220",0.0939586730013514
"221",0.0939586730013514
"222",0.0939586730013514
"223",0.85790578065683
"224",0.0939586730013514
"225",0.0939586730013514
"226",2.82933610085597
"227",0.0939586730013514
"228",0.0939586730013514
"229",0.567150750369718
"230",0.0939586730013514
"231",0.0939586730013514
"232",0.19679017693141
"233",0.19679017693141
"234",0.0939586730013514
"235",0.0939586730013514
"236",0.747085566726035
"237",0.0939586730013514
"238",0.0939586730013514
"239",0.0939586730013514
"240",0.567150750369718
"241",0.0939586730013514
"242",2.5578650135177
"243",0.19679017693141
"244",0.0939586730013514
"245",0.0939586730013514
"246",0.85790578065683
"247",0.0939586730013514
"248",0.567150750369718
"249",0.0939586730013514
"250",0.567150750369718
"251",0.0939586730013514
"252",0.0939586730013514
"253",2.82933610085597
"254",0.0939586730013514
"255",0.85790578065683
"256",0.0939586730013514
"257",0.0939586730013514
"258",0.0939586730013514
"259",0.0939586730013514
"260",0.0939586730013514
"261",0.0939586730013514
"262",0.567150750369718
"263",0.0939586730013514
"264",0.85790578065683
"265",0.0939586730013514
"266",0.0939586730013514
"267",0.0939586730013514
"268",0.567150750369718
"269",0.0939586730013514
"270",0.0939586730013514
"271",0.0939586730013514
"272",0.0939586730013514
"273",0.0939586730013514
"274",0.0939586730013514
"275",2.82933610085597
"276",4.84699495003166
"277",0.0939586730013514
"278",0.0939586730013514
"279",0.0939586730013514
"280",0.0939586730013514
"281",0.0939586730013514
"282",0.0939586730013514
"283",0.0939586730013514
"284",0.0939586730013514
"285",0.19679017693141
"286",0.0939586730013514
"287",0.0939586730013514
"288",0.0939586730013514
"289",0.0939586730013514
"290",0.0939586730013514
"291",0.0939586730013514
"292",0.0939586730013514
"293",0.0939586730013514
"294",0.567150750369718
"295",0.0939586730013514
"296",0.567150750369718
"297",0.0939586730013514
"298",0.0939586730013514
"299",0.0939586730013514
"300",0.0939586730013514
"301",0.0939586730013514
"302",0.747085566726035
"303",0.0939586730013514
"304",0.567150750369718
"305",0.567150750369718
"306",0.0939586730013514
"307",0.0939586730013514
"308",0.0939586730013514
"309",0.0939586730013514
"310",0.0939586730013514
"311",0.0939586730013514
"312",0.0939586730013514
"313",0.0939586730013514
"314",0.0939586730013514
"315",0.0939586730013514
"316",0.0939586730013514
"317",0.0939586730013514
"318",0.0939586730013514
"319",0.0939586730013514
"320",0.0939586730013514
"321",0.19679017693141
"322",0.0939586730013514
"323",0.567150750369718
"324",-6.389379732874
"325",0.19679017693141
"326",0.0939586730013514
"327",2.5578650135177
"328",0.0939586730013514
"329",0.747085566726035
"330",0.0939586730013514
"331",0.0939586730013514
"332",0.0939586730013514
"333",0.19679017693141
"334",0.567150750369718
"335",0.19679017693141
"336",0.19679017693141
"337",-5.74648097559121
"338",0.19679017693141
"339",0.0939586730013514
"340",0.0939586730013514
"341",0.0939586730013514
"342",0.0939586730013514
"343",0.0939586730013514
"344",0.0939586730013514
"345",0.0939586730013514
"346",0.0939586730013514
"347",2.5578650135177
"348",0.0939586730013514
"349",0.747085566726035
"350",0.0939586730013514
"351",0.19679017693141
"352",0.85790578065683
"353",0.19679017693141
"354",0.0939586730013514
"355",0.0939586730013514
"356",0.0939586730013514
