"","ego_c_output"
"1",0.522192448277418
"2",1.77729166519822
"3",0.23080512108072
"4",0.23080512108072
"5",0.522192448277418
"6",0.23080512108072
"7",0.23080512108072
"8",0.522192448277418
"9",0.522192448277418
"10",0.522192448277418
"11",0.23080512108072
"12",0.23080512108072
"13",0.23080512108072
"14",0.23080512108072
"15",0.23080512108072
"16",0.23080512108072
"17",0.23080512108072
"18",0.23080512108072
"19",0.23080512108072
"20",0.23080512108072
"21",0.23080512108072
"22",0.23080512108072
"23",0.522192448277418
"24",0.522192448277418
"25",0.23080512108072
"26",0.23080512108072
"27",0.23080512108072
"28",0.23080512108072
"29",0.23080512108072
"30",0.23080512108072
"31",0.23080512108072
"32",0.23080512108072
"33",1.75076908321826
"34",0.23080512108072
"35",0.23080512108072
"36",1.75076908321826
"37",0.23080512108072
"38",0.23080512108072
"39",0.23080512108072
"40",0.23080512108072
"41",0.23080512108072
"42",1.36551773575266
"43",0.23080512108072
"44",0.23080512108072
"45",0.23080512108072
"46",0.23080512108072
"47",0.23080512108072
"48",0.23080512108072
"49",0.23080512108072
"50",0.23080512108072
"51",0.23080512108072
"52",0.23080512108072
"53",0.23080512108072
"54",0.522192448277418
"55",-9.73068068753215
"56",0.23080512108072
"57",0.522192448277418
"58",0.522192448277418
"59",0.23080512108072
"60",0.23080512108072
"61",0.522192448277418
"62",0.23080512108072
"63",0.23080512108072
"64",0.522192448277418
"65",0.23080512108072
"66",0.23080512108072
"67",0.23080512108072
"68",0.23080512108072
"69",0.23080512108072
"70",0.23080512108072
"71",0.23080512108072
"72",1.36551773575266
"73",0.23080512108072
"74",0.23080512108072
"75",0.522192448277418
"76",0.23080512108072
"77",0.23080512108072
"78",0.522192448277418
"79",0.522192448277418
"80",1.75076908321826
"81",0.522192448277418
"82",0.23080512108072
"83",0.23080512108072
"84",0.23080512108072
"85",0.23080512108072
"86",0.522192448277418
"87",0.23080512108072
"88",0.23080512108072
"89",0.23080512108072
"90",0.23080512108072
"91",0.23080512108072
"92",0.23080512108072
"93",0.23080512108072
"94",1.75076908321826
"95",0.23080512108072
"96",1.75076908321826
"97",6.21186631748708
"98",0.522192448277418
"99",0.23080512108072
"100",0.23080512108072
"101",1.75076908321826
"102",1.75076908321826
"103",0.522192448277418
"104",0.23080512108072
"105",0.23080512108072
"106",0.23080512108072
"107",0.23080512108072
"108",0.522192448277418
"109",0.23080512108072
"110",0.522192448277418
"111",0.23080512108072
"112",0.522192448277418
"113",0.23080512108072
"114",0.522192448277418
"115",0.23080512108072
"116",0.23080512108072
"117",-29.6257356284
"118",0.23080512108072
"119",0.23080512108072
"120",0.23080512108072
"121",0.522192448277418
"122",0.23080512108072
"123",0.522192448277418
"124",0.522192448277418
"125",0.23080512108072
"126",0.23080512108072
"127",0.522192448277418
"128",0.522192448277418
"129",0.23080512108072
"130",0.23080512108072
"131",0.23080512108072
"132",0.522192448277418
"133",0.522192448277418
"134",0.522192448277418
"135",0.23080512108072
"136",0.23080512108072
"137",0.23080512108072
"138",0.23080512108072
"139",1.77729166519822
"140",0.23080512108072
"141",1.75076908321826
"142",0.522192448277418
"143",0.522192448277418
"144",0.23080512108072
"145",0.23080512108072
"146",0.23080512108072
"147",0.23080512108072
"148",0.23080512108072
"149",0.23080512108072
"150",0.23080512108072
"151",0.522192448277418
"152",0.23080512108072
"153",1.36551773575266
"154",0.23080512108072
"155",0.23080512108072
"156",0.23080512108072
"157",0.23080512108072
"158",0.23080512108072
"159",0.23080512108072
"160",0.23080512108072
"161",-29.6257356284
"162",0.23080512108072
"163",0.522192448277418
"164",0.23080512108072
"165",0.23080512108072
"166",0.23080512108072
"167",0.23080512108072
"168",0.23080512108072
"169",0.23080512108072
"170",0.23080512108072
"171",0.23080512108072
"172",0.23080512108072
"173",0.522192448277418
"174",0.23080512108072
"175",0.23080512108072
"176",0.23080512108072
"177",0.23080512108072
"178",0.23080512108072
"179",0.23080512108072
"180",0.522192448277418
"181",0.522192448277418
"182",0.23080512108072
"183",0.23080512108072
