"","alt_output"
"1",0.118689045679349
"2",0.118689045679349
"3",0.118689045679349
"4",0.118689045679349
"5",0.67939598551883
"6",0.118689045679349
"7",0.67939598551883
"8",0.118689045679349
"9",0.67939598551883
"10",0.118689045679349
"11",0.118689045679349
"12",0.118689045679349
"13",0.118689045679349
"14",0.118689045679349
"15",0.118689045679349
"16",0.67939598551883
"17",0.67939598551883
"18",0.118689045679349
"19",0.118689045679349
"20",0.118689045679349
"21",2.25583519052147
"22",0.67939598551883
"23",0.118689045679349
"24",0.118689045679349
"25",0.118689045679349
"26",0.118689045679349
"27",0.118689045679349
"28",0.118689045679349
"29",0.118689045679349
"30",0.118689045679349
"31",0.118689045679349
"32",0.118689045679349
"33",0.67939598551883
"34",2.25583519052147
"35",0.118689045679349
"36",1.63640942546848
"37",0.118689045679349
"38",0.118689045679349
"39",0.67939598551883
"40",0.67939598551883
"41",0.118689045679349
"42",1.63640942546848
"43",0.67939598551883
"44",0.118689045679349
"45",0.118689045679349
"46",0.118689045679349
"47",0.118689045679349
"48",0.118689045679349
"49",0.118689045679349
"50",0.67939598551883
"51",0.67939598551883
"52",0.118689045679349
"53",0.67939598551883
"54",0.118689045679349
"55",1.63640942546848
"56",0.118689045679349
"57",0.118689045679349
"58",0.118689045679349
"59",0.118689045679349
"60",0.118689045679349
"61",0.67939598551883
"62",0.118689045679349
"63",0.118689045679349
"64",0.118689045679349
"65",0.67939598551883
"66",0.67939598551883
"67",0.118689045679349
"68",0.67939598551883
"69",0.67939598551883
"70",0.118689045679349
"71",0.67939598551883
"72",1.63640942546848
"73",0.67939598551883
"74",0.118689045679349
"75",0.118689045679349
"76",0.118689045679349
"77",0.118689045679349
"78",0.118689045679349
"79",0.118689045679349
"80",1.63640942546848
"81",0.67939598551883
"82",0.118689045679349
"83",0.118689045679349
"84",0.118689045679349
"85",0.67939598551883
"86",0.118689045679349
"87",0.118689045679349
"88",0.118689045679349
"89",0.118689045679349
"90",0.118689045679349
"91",0.67939598551883
"92",0.67939598551883
"93",0.118689045679349
"94",0.67939598551883
"95",0.118689045679349
"96",0.67939598551883
"97",2.25583519052147
"98",0.67939598551883
"99",0.67939598551883
"100",0.118689045679349
"101",1.63640942546848
"102",0.118689045679349
"103",0.67939598551883
"104",0.118689045679349
"105",0.118689045679349
"106",0.118689045679349
"107",0.67939598551883
"108",0.118689045679349
"109",0.67939598551883
"110",0.118689045679349
"111",0.118689045679349
"112",1.63640942546848
"113",0.118689045679349
"114",6.52394338150131
"115",0.118689045679349
"116",0.118689045679349
"117",-7.56136605603181
"118",0.118689045679349
"119",0.118689045679349
"120",0.67939598551883
"121",0.118689045679349
"122",0.67939598551883
"123",0.118689045679349
"124",0.67939598551883
"125",0.118689045679349
"126",0.118689045679349
"127",0.118689045679349
"128",0.118689045679349
"129",0.118689045679349
"130",0.118689045679349
"131",0.118689045679349
"132",1.63640942546848
"133",0.118689045679349
"134",1.63640942546848
"135",0.118689045679349
