"","alt_c_output"
"1",0.287848556282244
"2",0.287848556282244
"3",0.287848556282244
"4",0.287848556282244
"5",1.56631114611252
"6",0.287848556282244
"7",1.56631114611252
"8",0.287848556282244
"9",1.56631114611252
"10",0.287848556282244
"11",0.287848556282244
"12",0.287848556282244
"13",0.287848556282244
"14",0.287848556282244
"15",0.287848556282244
"16",1.56631114611252
"17",1.56631114611252
"18",0.287848556282244
"19",0.287848556282244
"20",0.287848556282244
"21",5.18377372738478
"22",1.56631114611252
"23",0.287848556282244
"24",0.287848556282244
"25",0.287848556282244
"26",0.287848556282244
"27",0.287848556282244
"28",0.287848556282244
"29",0.287848556282244
"30",0.287848556282244
"31",0.287848556282244
"32",0.287848556282244
"33",1.56631114611252
"34",5.18377372738478
"35",0.287848556282244
"36",3.9657923785558
"37",0.287848556282244
"38",0.287848556282244
"39",1.56631114611252
"40",1.56631114611252
"41",0.287848556282244
"42",3.9657923785558
"43",1.56631114611252
"44",0.287848556282244
"45",0.287848556282244
"46",0.287848556282244
"47",0.287848556282244
"48",0.287848556282244
"49",0.287848556282244
"50",1.56631114611252
"51",1.56631114611252
"52",0.287848556282244
"53",1.56631114611252
"54",0.287848556282244
"55",3.9657923785558
"56",0.287848556282244
"57",0.287848556282244
"58",0.287848556282244
"59",0.287848556282244
"60",0.287848556282244
"61",1.56631114611252
"62",0.287848556282244
"63",0.287848556282244
"64",0.287848556282244
"65",1.56631114611252
"66",1.56631114611252
"67",0.287848556282244
"68",1.56631114611252
"69",1.56631114611252
"70",0.287848556282244
"71",1.56631114611252
"72",3.9657923785558
"73",1.56631114611252
"74",0.287848556282244
"75",0.287848556282244
"76",0.287848556282244
"77",0.287848556282244
"78",0.287848556282244
"79",0.287848556282244
"80",3.9657923785558
"81",1.56631114611252
"82",0.287848556282244
"83",0.287848556282244
"84",0.287848556282244
"85",1.56631114611252
"86",0.287848556282244
"87",0.287848556282244
"88",0.287848556282244
"89",0.287848556282244
"90",0.287848556282244
"91",1.56631114611252
"92",1.56631114611252
"93",0.287848556282244
"94",1.56631114611252
"95",0.287848556282244
"96",1.56631114611252
"97",5.18377372738478
"98",1.56631114611252
"99",1.56631114611252
"100",0.287848556282244
"101",3.9657923785558
"102",0.287848556282244
"103",1.56631114611252
"104",0.287848556282244
"105",0.287848556282244
"106",0.287848556282244
"107",1.56631114611252
"108",0.287848556282244
"109",1.56631114611252
"110",0.287848556282244
"111",0.287848556282244
"112",3.9657923785558
"113",0.287848556282244
"114",17.4639892540476
"115",0.287848556282244
"116",0.287848556282244
"117",-17.6806844908785
"118",0.287848556282244
"119",0.287848556282244
"120",1.56631114611252
"121",0.287848556282244
"122",1.56631114611252
"123",0.287848556282244
"124",1.56631114611252
"125",0.287848556282244
"126",0.287848556282244
"127",0.287848556282244
"128",0.287848556282244
"129",0.287848556282244
"130",0.287848556282244
"131",0.287848556282244
"132",3.9657923785558
"133",0.287848556282244
"134",3.9657923785558
"135",0.287848556282244
"136",0.287848556282244
"137",0.287848556282244
"138",5.18377372738478
"139",0.287848556282244
"140",0.287848556282244
"141",1.56631114611252
"142",0.287848556282244
"143",0.287848556282244
"144",1.56631114611252
"145",0.287848556282244
"146",1.56631114611252
"147",0.287848556282244
"148",0.287848556282244
"149",0.287848556282244
"150",0.287848556282244
"151",1.56631114611252
"152",0.287848556282244
"153",0.287848556282244
"154",1.56631114611252
"155",1.56631114611252
"156",1.56631114611252
"157",0.287848556282244
"158",0.287848556282244
"159",1.56631114611252
"160",0.287848556282244
"161",-17.6806844908785
"162",1.56631114611252
"163",3.9657923785558
"164",0.287848556282244
"165",0.287848556282244
"166",0.287848556282244
"167",1.56631114611252
"168",1.56631114611252
"169",0.287848556282244
"170",1.56631114611252
"171",0.287848556282244
"172",0.287848556282244
"173",1.56631114611252
"174",0.287848556282244
"175",1.56631114611252
"176",0.287848556282244
"177",0.287848556282244
"178",0.287848556282244
"179",1.56631114611252
"180",0.287848556282244
"181",1.56631114611252
"182",0.287848556282244
"183",0.287848556282244
