"","leaf_no_t","tau","ben_c","equi_ben","equi_output","cost","equi_cost"
"1",0.06270273860893,-0.00716650974583141,0.137084796034675,0.353026501540283,0.345859991794452,0,0.153846153846154
"2",0.166368482887267,0.179990375452656,0.0587938803661328,0.0601174999532765,0.240107875405933,0,0.0428372185694361
"3",0.0646027300266537,0.179990375452656,0.0222164228586445,0.0601174999532765,0.240107875405933,0,0.0428372185694361
"4",0.0829279684636347,0.179990375452656,0.0248458651550207,0.0601174999532765,0.240107875405933,0,0.0428372185694361
"5",0.0288930829749533,-0.00716650974583141,0.00745383484834898,0.353026501540283,0.345859991794452,0,0.153846153846154
"6",0.183839775677072,0.179990375452656,0.0302869352832413,0.0601174999532765,0.240107875405933,0,0.0428372185694361
"7",0.0709779842171048,0.179990375452656,0.00682778687478012,0.0601174999532765,0.240107875405933,0,0.0428372185694361
"8",0.142710085369062,-0.00716650974583141,0.368625571411562,0.353026501540283,0.345859991794452,0,0.153846153846154
"9",0.0822058336463769,-5.11325233980596,6.70566716818168,5.479085573441,0.365833233635036,0,0.192307692307692
"10",1.25226444509429,-4.0587575359227,4.14002972000094,5.23851053629714,1.17975300037445,0,0.602409638554217
"11",0.297624700977347,0.179990375452656,0.0521800417877276,0.0601174999532765,0.240107875405933,0,0.0428372185694361
"12",0.0718031065086691,0.179990375452656,0.0439377250434077,0.0601174999532765,0.240107875405933,0,0.0428372185694361
"13",0.472387668710789,0.179990375452656,0.0444320107576934,0.0601174999532765,0.240107875405933,0,0.0428372185694361
"14",0.188267923781002,0.179990375452656,0.0498596448164512,0.0601174999532765,0.240107875405933,0,0.0428372185694361
"15",0.184540535947948,0.179990375452656,0.000761639560215932,0.0601174999532765,0.240107875405933,0,0.0428372185694361
"16",0.034729324545614,0.179990375452656,0.000761639560215812,0.0601174999532765,0.240107875405933,0,0.0428372185694361
"17",0.055096631016752,0.179990375452656,0.00946906967461478,0.0601174999532765,0.240107875405933,0,0.0428372185694361
