"","leaf_no_t","tau","ben_c","alt_ben","alt_output","cost","alt_cost","ben_cost"
"3025",1.72671959173439,0.686325582775531,0.00274287650109489,0.0633096208853591,0.74963520366089,0,0.0760938490805327,0.833333333333333
"3026",0.166352869696536,0.11482262042001,0.0479955838064512,0.14363470693381,0.25845732735382,0,0.04210004952947,0.0367647058823529
"3027",2.27665163956036,0.686325582775531,0.0465243053524411,0.0633096208853591,0.74963520366089,0,0.0760938490805327,0
"3028",0.322905749561477,0.11482262042001,0.0479955838064512,0.14363470693381,0.25845732735382,0,0.04210004952947,0.0367647058823529
"3029",1.04708488246988,0.686325582775531,0.0161207369407675,0.0633096208853591,0.74963520366089,0,0.0760938490805327,0
"3030",0.966594890423047,1.71628470702478,4.92532934238637,0.376856965903634,2.09314167292842,0,0.12962962962963,0
"3031",0.144555205140782,0.11482262042001,0.295619100024695,0.14363470693381,0.25845732735382,0,0.04210004952947,0
"3032",0.340089902712804,0.686325582775531,0.00274287650109479,0.0633096208853591,0.74963520366089,0,0.0760938490805327,0.0997506234413965
"3033",2.45155986256583,1.13744954506201,5.03071230868479,2.18664217761088,3.32409172267289,0,0.222222222222222,0
"3034",0.300170981698149,0.686325582775531,0.00605813378966764,0.0633096208853591,0.74963520366089,0,0.0760938490805327,0
"3035",0.537017860897862,0.11482262042001,0.0479955838064512,0.14363470693381,0.25845732735382,0,0.04210004952947,0.0367647058823529
"3036",0.0777416173028734,0.686325582775531,0.00179535395853071,0.0633096208853591,0.74963520366089,0,0.0760938490805327,0
"3037",0.163564448643904,0.11482262042001,0.0479955838064512,0.14363470693381,0.25845732735382,0,0.04210004952947,0.0367647058823529
"3038",0.35431947348077,0.686325582775531,0.0161207369407676,0.0633096208853591,0.74963520366089,0,0.0760938490805327,0
"3039",0.166352869696536,0.11482262042001,0.0479955838064512,0.14363470693381,0.25845732735382,0,0.04210004952947,0.0367647058823529
"3040",0.090977425445585,0.686325582775531,0.00179535395853061,0.0633096208853591,0.74963520366089,0,0.0760938490805327,0.126582278481013
"3041",0.172903849379892,0.11482262042001,0.273790964527012,0.14363470693381,0.25845732735382,0,0.04210004952947,0
"3042",0.146375187297983,0.11482262042001,11.0191262624331,0.14363470693381,0.25845732735382,0,0.04210004952947,0
"3043",0.31160464637701,0.686325582775531,0.472433141866922,0.0633096208853591,0.74963520366089,0,0.0760938490805327,0
"3044",1.88739521771045,1.71628470702478,0.36437460459999,0.376856965903634,2.09314167292842,0,0.12962962962963,0
"3045",0.17660672568843,0.11482262042001,0.0479955838064512,0.14363470693381,0.25845732735382,0,0.04210004952947,0.0367647058823529
"3046",1.05332444016219,0.686325582775531,0.0661074036074344,0.0633096208853591,0.74963520366089,0,0.0760938490805327,0
"3047",0.520924256378815,0.686325582775531,0.0465243053524411,0.0633096208853591,0.74963520366089,0,0.0760938490805327,0
"3048",0.200590796297662,0.11482262042001,0.0854425935566402,0.14363470693381,0.25845732735382,0,0.04210004952947,0
"3049",0.186355496105325,0.686325582775531,0.00274287650109486,0.0633096208853591,0.74963520366089,0,0.0760938490805327,0.078125
"3050",0.364258115712445,0.11482262042001,0.0496260625662278,0.14363470693381,0.25845732735382,0,0.04210004952947,0
"3051",0.40626056659732,0.686325582775531,0.00605813378966775,0.0633096208853591,0.74963520366089,0,0.0760938490805327,0
