"budget_v","num_users_ate","total_utility_ate","cost_ate","left_budget"
10,146,85.3008761827385,9.93959497105003,0.0604050289499654
15,220,128.535566850702,14.977471874185,0.0225281258150147
20,293,171.186004942071,19.94726935971,0.0527306402899974
25,367,214.420695610035,24.9851462628449,0.0148537371550503
30,440,257.071133701404,29.95494374837,0.0450562516300295
35,514,300.305824369367,34.9928206515049,0.00717934849507884
40,587,342.956262460736,39.9626181370299,0.0373818629700651
45,660,385.606700552106,44.932415622555,0.0675843774450442
50,734,428.841391220069,49.9702925256899,0.0297074743101007
55,807,471.491829311438,54.9400900112149,0.0599099887850798
60,881,514.726519979402,59.9779669143499,0.0220330856501292
65,954,557.376958070771,64.9477643998749,0.0522356001251154
70,1000,584.2525765941,68.0794176099318,1.92058239006825
75,1000,584.2525765941,68.0794176099318,6.92058239006825
80,1000,584.2525765941,68.0794176099318,11.9205823900682
85,1000,584.2525765941,68.0794176099318,16.9205823900682
90,1000,584.2525765941,68.0794176099318,21.9205823900682
95,1000,584.2525765941,68.0794176099318,26.9205823900682
100,1000,584.2525765941,68.0794176099318,31.9205823900682
105,1000,584.2525765941,68.0794176099318,36.9205823900682
110,1000,584.2525765941,68.0794176099318,41.9205823900682
115,1000,584.2525765941,68.0794176099318,46.9205823900682
120,1000,584.2525765941,68.0794176099318,51.9205823900682
125,1000,584.2525765941,68.0794176099318,56.9205823900682
130,1000,584.2525765941,68.0794176099318,61.9205823900682
"budget_v","num_users_ate","total_utility_ate","cost_ate","left_budget"
10,150,80.596638306638,9.97596058683674,0.024039413163262
15,225,120.894957459957,14.9639408802551,0.036059119744893
20,300,161.193276613276,19.9519211736735,0.0480788263265239
25,375,201.491595766595,24.9399014670918,0.0600985329081531
30,451,242.327225841958,29.9943881644225,0.00561183557753964
35,526,282.625544995277,34.9823684578408,0.0176315421591724
40,601,322.923864148596,39.9703487512592,0.0296512487407981
45,676,363.222183301915,44.9583290446776,0.0416709553224308
50,751,403.520502455234,49.9463093380959,0.0536906619040636
55,826,443.818821608553,54.9342896315143,0.0657103684856892
60,902,484.654451683917,59.9887763288449,0.0112236711550793
65,977,524.952770837236,64.9767566222633,0.0232433777367049
70,1000,537.310922044253,66.5064039122449,3.49359608775508
75,1000,537.310922044253,66.5064039122449,8.49359608775508
80,1000,537.310922044253,66.5064039122449,13.4935960877551
85,1000,537.310922044253,66.5064039122449,18.4935960877551
90,1000,537.310922044253,66.5064039122449,23.4935960877551
95,1000,537.310922044253,66.5064039122449,28.4935960877551
100,1000,537.310922044253,66.5064039122449,33.4935960877551
105,1000,537.310922044253,66.5064039122449,38.4935960877551
110,1000,537.310922044253,66.5064039122449,43.4935960877551
115,1000,537.310922044253,66.5064039122449,48.4935960877551
120,1000,537.310922044253,66.5064039122449,53.4935960877551
125,1000,537.310922044253,66.5064039122449,58.4935960877551
130,1000,537.310922044253,66.5064039122449,63.4935960877551
"budget_v","num_users_ate","total_utility_ate","cost_ate","left_budget"
10,150,89.5495640145495,9.99513499221531,0.00486500778468724
15,225,134.324346021824,14.992702488323,0.00729751167703085
20,300,179.099128029099,19.9902699844306,0.00973001556937447
25,375,223.873910036374,24.9878374805383,0.0121625194617181
30,450,268.648692043648,29.9854049766459,0.0145950233540617
35,525,313.423474050923,34.9829724727536,0.0170275272464053
40,600,358.198256058198,39.9805399688613,0.0194600311387489
45,675,402.973038065473,44.9781074649689,0.0218925350310926
50,750,447.747820072747,49.9756749610766,0.0243250389234362
55,825,492.522602080022,54.9732424571842,0.0267575428157798
60,900,537.297384087297,59.9708099532919,0.0291900467081234
65,975,582.072166094571,64.9683774493995,0.0316225506004741
70,1000,596.99709343033,66.6342332814354,3.36576671856459
75,1000,596.99709343033,66.6342332814354,8.36576671856459
80,1000,596.99709343033,66.6342332814354,13.3657667185646
85,1000,596.99709343033,66.6342332814354,18.3657667185646
90,1000,596.99709343033,66.6342332814354,23.3657667185646
95,1000,596.99709343033,66.6342332814354,28.3657667185646
100,1000,596.99709343033,66.6342332814354,33.3657667185646
105,1000,596.99709343033,66.6342332814354,38.3657667185646
110,1000,596.99709343033,66.6342332814354,43.3657667185646
115,1000,596.99709343033,66.6342332814354,48.3657667185646
120,1000,596.99709343033,66.6342332814354,53.3657667185646
125,1000,596.99709343033,66.6342332814354,58.3657667185646
130,1000,596.99709343033,66.6342332814354,63.3657667185646
"budget_v","num_users_ate","total_utility_ate","cost_ate","left_budget"
10,149,87.230688148934,9.95813338076291,0.0418666192370853
15,224,131.138752653431,14.9706166261134,0.0293833738866258
20,299,175.046817157928,19.9830998714638,0.0169001285361681
25,374,218.954881662425,24.9955831168143,0.00441688318570499
30,448,262.277505306862,29.9412332522267,0.0587667477732516
35,523,306.185569811359,34.9537164975772,0.0462835024227957
40,598,350.093634315856,39.9661997429277,0.0338002570723361
45,673,394.001698820353,44.9786829882781,0.0213170117218695
50,748,437.90976332485,49.9911662336286,0.00883376637140998
55,822,481.232386969287,54.936816369041,0.0631836309589602
60,897,525.140451473784,59.9492996143915,0.0507003856085007
65,972,569.048515978281,64.961782859742,0.0382171402580411
70,1000,585.440860059959,66.8331099380061,3.16689006199387
75,1000,585.440860059959,66.8331099380061,8.16689006199387
80,1000,585.440860059959,66.8331099380061,13.1668900619939
85,1000,585.440860059959,66.8331099380061,18.1668900619939
90,1000,585.440860059959,66.8331099380061,23.1668900619939
95,1000,585.440860059959,66.8331099380061,28.1668900619939
100,1000,585.440860059959,66.8331099380061,33.1668900619939
105,1000,585.440860059959,66.8331099380061,38.1668900619939
110,1000,585.440860059959,66.8331099380061,43.1668900619939
115,1000,585.440860059959,66.8331099380061,48.1668900619939
120,1000,585.440860059959,66.8331099380061,53.1668900619939
125,1000,585.440860059959,66.8331099380061,58.1668900619939
130,1000,585.440860059959,66.8331099380061,63.1668900619939
"budget_v","num_users_ate","total_utility_ate","cost_ate","left_budget"
10,156,77.9870175783482,9.95897537389544,0.0410246261045604
15,234,116.980526367522,14.9384630608432,0.0615369391568414
20,313,156.473951936045,19.981790333521,0.0182096664790201
25,391,195.467460725219,24.9612780204687,0.038721979531303
30,469,234.460969514393,29.9407657074164,0.0592342925835823
35,548,273.954395082915,34.9840929800942,0.0159070199057609
40,626,312.947903872089,39.963580667042,0.0364193329580402
45,704,351.941412661264,44.9430683539897,0.0569316460103266
50,783,391.434838229786,49.9863956266675,0.0136043733325053
55,861,430.42834701896,54.9658833136152,0.0341166863847846
60,939,469.421855808134,59.9453710005629,0.0546289994370639
65,1000,499.916779348386,63.839585730099,1.16041426990103
70,1000,499.916779348386,63.839585730099,6.16041426990103
75,1000,499.916779348386,63.839585730099,11.160414269901
